,age,gender,bmi,bp_systolic,bp_diastolic,income_pir
Mexican American,0.11261501820381715,0.01712399570902759,0.05631036640044355,0.030627665556779926,0.021797738054729635,0.02136004455053554
Other Hispanic,0.10234772907760444,0.021413693988022068,0.06179001364759552,0.03359353596772655,0.02303691463379888,0.026344282954478385
Non-Hispanic White,0.10290869533138285,0.02109512187805875,0.06642195543651275,0.030449137940237306,0.025376770080850434,0.02513941075846864
Non-Hispanic Black,0.09634178201488154,0.01833419377068044,0.0750057516130641,0.033620774195960754,0.023954053245040904,0.02250083152991157
Non-Hispanic Asian,0.08091060123355352,0.01887660374201461,0.057448537310000776,0.02827733734059943,0.020825648275917038,0.020217079138702323
Other/Multiracial,0.09366722592746421,0.014906686119628008,0.06495266583348981,0.029383515568216945,0.016533688404462805,0.018640508215028825
